52,200
23,200
60,200
51,200
46,200
32,200
58,200
46,200
48,200
45,200
57,200
34,200
42,200
44,200
26,200
40,200
35,200
61,200
26,200
28,200
23,200
25,200
24,200
27,200
22,200
19,200
20,200
23,200
23,200
22,200
18,200
19,200
18,200
26,200
22,200
21,200
21,200
19,200
20,200
30,200
23,200
23,200
32,200
22,200
20,200
33,200
19,200
29,200
21,200
22,200
19,200
21,200
24,200
22,200
20,200
22,200
20,200
23,200
23,200
18,200
21,200
22,200
20,200
20,200
19,200
16,200
20,200
20,200
21,200
24,200
21,200
19,200
20,200
21,200
21,200
17,200
18,200
21,200
20,200
20,200
18,200
17,200
18,200
21,200
21,200
20,200
20,200
16,200
21,200
23,200
20,200
23,200
22,200
19,200
18,200
20,200
17,200
19,200
21,200
22,200
24,200
22,200
20,200
19,200
19,200
24,200
18,200
23,200
22,200
23,200
24,200
22,200
17,200
22,200
20,200
19,200
18,200
17,200
19,200
18,200
19,200
20,200
23,200
20,200
16,200
17,200
18,200
17,200
19,200
23,200
21,200
20,200
20,200
17,200
17,200
18,200
23,200
24,200
20,200
20,200
17,200
18,200
16,200
16,200
17,200
16,200
21,200
22,200
17,200
20,200
17,200
17,200
16,200
19,200
21,200
19,200
16,200
16,200
16,200
20,200
21,200
20,200
20,200
17,200
24,200
17,200
19,200
15,200
16,200
16,200
19,200
18,200
18,200
21,200
16,200
18,200
20,200
17,200
18,200
17,200
17,200
16,200
16,200
16,200
21,200
17,200
20,200
20,200
20,200
21,200
20,200
19,200
20,200
23,200
21,200
21,200
20,200
24,200
22,200
24,200
22,200
17,200
18,200
18,200
19,200
17,200
22,200
21,200
19,200
19,200
17,200
18,200
18,200
18,200
18,200
17,200
17,200
18,200
16,200
17,200
16,200
19,200
20,200
22,200
20,200
18,200
16,200
15,200
16,200
19,200
17,200
18,200
17,200
17,200
17,200
19,200
19,200
17,200
17,200
16,200
16,200
15,200
21,200
21,200
20,200
19,200
18,200
16,200
17,200
23,200
21,200
20,200
17,200
19,200
17,200
17,200
17,200
16,200
18,200
18,200
19,200
18,200
15,200
17,200
18,200
19,200
18,200
21,200
17,200
15,200
18,200
20,200
18,200
18,200
23,200
21,200
19,200
21,200
21,200
23,200
29,200
20,200
30,200
19,200
18,200
20,200
18,200
17,200
19,200
16,200
19,200
16,200
16,200
18,200
17,200
19,200
18,200
15,200
16,200
17,200
